Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE	Hardware Event Count:UOPS_EXECUTED.X87	Hardware Event Count:UOPS_EXECUTED.THREAD	Module	Function (Full)	Source File	Start Address
std::vector<float, std::allocator<float>>::push_back	54400000	20400000	3400000	7691078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19227720	0	0	0	0	30764312	153821376	0	0	0	0	0	0	0	30764312	gaussian	std::vector<float, std::allocator<float>>::push_back(float const&)	stl_vector.h	0x40276f
[Loop@0x9410 in func@0x9240]	51000000	10200000	17000000	30764312	0	0	0	0	0	0	0	0	0	0	0	0	0	130000039	0	0	0	15382176	13074813	0	0	0	0	0	2691948	11536632	0	76910688	38455344	5768460	15382156	76910688	0	0	0	0	0	0	0	15382156	libdeflate.so.0	[Loop@0x9410 in func@0x9240]	[Unknown]	0x9410
[Loop@0xb570 in func@0xb4c0]	51000000	23800000	3400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80000024	0	0	0	0	13074813	0	0	0	0	0	0	0	0	0	0	4614768	23073234	76910688	0	0	0	0	0	0	0	30764312	libdeflate.so.0	[Loop@0xb570 in func@0xb4c0]	[Unknown]	0xb570
[Loop@0x6fa0 in adler32_z]	34000000	6800000	3400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3845544	13074813	0	0	0	0	0	769128	0	0	0	0	4614768	0	38455344	0	0	0	0	0	0	0	15382156	libz.so.1.3	[Loop@0x6fa0 in adler32_z]	[Unknown]	0x6fa0
[Loop@0x74d8 in crc32_z]	34000000	6800000	0	7691078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7691088	13074813	0	0	0	0	0	0	0	0	0	0	9229536	15382156	0	0	0	0	0	0	0	0	15382156	libz.so.1.3	[Loop@0x74d8 in crc32_z]	[Unknown]	0x74d8
strcmp	30600000	30600000	13600000	7691078	0	0	0	0	0	0	0	0	0	0	0	0	0	150000045	7691088	3845544	0	0	26149626	0	0	0	0	0	0	15382176	0	0	0	8460408	53837546	384553440	0	0	0	0	0	0	0	123057248	ld-linux-x86-64.so.2	strcmp	strcmp-sse2.S	0x274e0
[Loop@0x267f48 in func@0x267ee0]	27200000	23800000	17000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307642752	230732064	11536920	92292936	499919472	0	0	7691078	0	0	0	0	0	libopencv_core.so.4.6.0	[Loop@0x267f48 in func@0x267ee0]	[Unknown]	0x267f48
[Loop at line 755 in __memmove_avx_unaligned_erms]	23800000	81600000	34000000	84601858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34609896	30764352	19227720	0	78448878	23073234	0	0	0	0	0	0	0	153821376	192276720	4999332	46146468	230732064	0	0	0	0	0	0	0	84601858	libc.so.6	[Loop at line 755 in __memmove_avx_unaligned_erms]	memmove-vec-unaligned-erms.S	0x188e15
[Loop at line 327 in FilterHandler::loadImage]	20400000	30600000	20400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38455344	76910688	1153692	46146468	499919472	0	0	7691078	0	0	0	0	7691078	gaussian	[Loop at line 327 in FilterHandler::loadImage(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)]	FilterHandler.cpp	0x40b480
[Loop@0xab90 in func@0xa520]	17000000	17000000	10200000	23073234	0	0	0	0	0	0	0	0	0	0	0	0	0	90000027	0	0	0	7691088	0	0	0	0	0	0	2307384	23073264	0	0	0	3461076	38455390	192276720	0	0	0	0	0	0	0	15382156	libdeflate.so.0	[Loop@0xab90 in func@0xa520]	[Unknown]	0xab90
[Loop@0x47f0 in func@0x4790]	13600000	3400000	0	15382156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3845544	0	0	0	384564	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	[Loop@0x47f0 in func@0x4790]	[Unknown]	0x47f0
[Loop@0x9360 in func@0x9240]	13600000	17000000	6800000	7691078	0	0	0	0	0	0	0	0	0	0	0	0	0	70000021	0	0	0	15382176	0	0	0	0	0	0	4614768	0	0	0	0	5768460	15382156	38455344	0	0	0	0	0	0	0	30764312	libdeflate.so.0	[Loop@0x9360 in func@0x9240]	[Unknown]	0x9360
[Loop at line 40 in __cxa_finalize]	10200000	0	3400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2307384	38455390	115366032	0	0	0	0	0	0	0	0	libc.so.6	[Loop at line 40 in __cxa_finalize]	cxa_finalize.c	0x47330
